Service Number,Train Number,Start Station,Start Time (mins),End Station,End Time (mins),Direction,Service Duration,Jurisdiction,Stepback Train Number,Break Duration,Trip Duration,Duty Duration
684,702,MUPR,1367,VND,1434,DN,67,inducting,No StepBack,0,0,67

810,701,KKDA DN,1035,KKDA UP,1069,DN,34,continuing,724,0,0,154
834,702,KKDA DN,1155,KKDA UP,1189,DN,34,continuing,736,0,0,154

872,702,VND,340,KKDA DN,368,DN,28,inducting,No StepBack,0,0,1012
23,701,KKDA UP,479,PVGW UP,541,UP,62,continuing,No StepBack,0,0,1012
63,701,PVGW DN,575,KKDA DN,637,DN,62,continuing,No StepBack,0,0,1012
765,702,KKDA DN,760,KKDA UP,801,DN,41,continuing,736,0,0,1012
168,701,KKDA UP,869,PVGW UP,934,UP,65,continuing,No StepBack,0,0,1012
202,701,PVGW DN,973,KKDA DN,1035,DN,62,continuing,No StepBack,0,0,1012
284,702,KKDA UP,1184,PVGW UP,1246,UP,62,continuing,No StepBack,0,0,1012
316,702,PVGW DN,1285,KKDA DN,1352,DN,67,continuing,No StepBack,0,0,1012

693,702,KKDA DN,368,KKDA UP,408,DN,40,continuing,702,0,0,950
702,701,KKDA DN,442,KKDA UP,484,DN,42,continuing,724,0,0,950
73,702,KKDA UP,600,PVGW UP,662,UP,62,continuing,No StepBack,0,0,950
111,702,PVGW DN,698,KKDA DN,760,DN,62,continuing,No StepBack,0,0,950
777,701,KKDA DN,836,KKDA UP,875,DN,39,continuing,724,0,0,950
210,702,KKDA UP,996,PVGW UP,1058,UP,62,continuing,No StepBack,0,0,950
247,702,PVGW DN,1093,KKDA DN,1155,DN,62,continuing,No StepBack,0,0,950
307,701,KKDA UP,1253,PVGW UP,1318,UP,65,continuing,No StepBack,0,0,950

336,701,MKPD,340,PVGW DN,375,DN,35,inducting,No StepBack,0,0,1013
351,702,PVGW UP,474,PVGW DN,508,UP,34,continuing,No StepBack,0,0,1013
366,701,PVGW UP,541,PVGW DN,575,UP,34,continuing,No StepBack,0,0,1013
390,702,PVGW UP,662,PVGW DN,698,UP,36,continuing,No StepBack,0,0,1013
405,701,PVGW UP,731,PVGW DN,768,UP,37,continuing,No StepBack,0,0,1013
426,702,PVGW UP,860,PVGW DN,898,UP,38,continuing,No StepBack,0,0,1013
438,701,PVGW UP,934,PVGW DN,973,UP,39,continuing,No StepBack,0,0,1013
462,702,PVGW UP,1058,PVGW DN,1093,UP,35,continuing,No StepBack,0,0,1013
475,701,PVGW UP,1126,PVGW DN,1158,UP,32,continuing,No StepBack,0,0,1013
499,702,PVGW UP,1246,PVGW DN,1285,UP,39,continuing,No StepBack,0,0,1013
511,701,PVGW UP,1318,MKPD ,1353,UP,35,stabling,No StepBack,0,0,1013

1,701,PVGW DN,375,KKDA DN,442,DN,67,continuing,No StepBack,0,0,1012
23,701,KKDA UP,479,PVGW UP,541,UP,62,continuing,No StepBack,0,0,1012
63,701,PVGW DN,575,KKDA DN,637,DN,62,continuing,No StepBack,0,0,1012
102,701,KKDA UP,669,PVGW UP,731,UP,62,continuing,No StepBack,0,0,1012
135,701,PVGW DN,768,KKDA DN,836,DN,68,continuing,No StepBack,0,0,1012
798,702,KKDA DN,965,KKDA UP,1002,DN,37,continuing,736,0,0,1012
236,701,KKDA UP,1064,PVGW UP,1126,UP,62,continuing,No StepBack,0,0,1012
273,701,PVGW DN,1158,KKDA DN,1220,DN,62,continuing,No StepBack,0,0,1012
867,702,KKDA DN,1352,KKDA UP,1387,DN,35,continuing,716,0,0,1012

