Serial,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Category,Step Back Rake,Step Back Location
915,736,DDSC,21:49,DDSC SDG,22:09,UP,20,inducting,No StepBack,No StepBack
880,705,DDSC,06:00,KKDA DN,06:52,DN,52,inducting,No StepBack,No StepBack
884,717,DDSC,06:20,PVGW UP,06:41,UP,21,inducting,No StepBack,No StepBack
874,709,IPE,05:45,PVGW UP,06:56,UP,71,inducting,No StepBack,No StepBack
863,707,KKDA DN,22:07,KKDA UP,22:41,DN,34,continuing,707,MUPR
864,731,KKDA DN,22:12,KKDA UP,22:52,DN,40,continuing,731,MUPR
865,744,KKDA DN,22:19,KKDA UP,22:51,DN,32,continuing,710,MUPR
930,726,KKDA DN,23:37,MUPR,23:52,DN,15,stabling,No StepBack,No StepBack
931,724,KKDA DN,23:52,MUPR,24:07:00,DN,15,stabling,No StepBack,No StepBack
932,719,KKDA DN,24:07:00,MUPR,24:22:00,DN,15,stabling,No StepBack,No StepBack
933,730,KKDA DN,24:22:00,MUPR,24:37:00,DN,15,stabling,No StepBack,No StepBack
870,746,KKDA DN,23:07,MUPR 3RD SDG,24:46:00,DN,99,stabling,724,MUPR
871,715,KKDA DN,23:22,MUPR 4TH,25:01:00,DN,99,stabling,719,MUPR
869,718,KKDA DN,22:52,MUPR DN,24:02:00,DN,70,stabling,746,MUPR
909,722,KKDA UP,21:22,IPE,21:29,UP,7,stabling,No StepBack,No StepBack
918,713,KKDA UP,22:26,IPE,22:33,UP,7,stabling,No StepBack,No StepBack
920,707,KKDA UP,22:41,IPE,22:48,UP,7,stabling,No StepBack,No StepBack
922,710,KKDA UP,22:51,IPE,22:59,UP,8,stabling,No StepBack,No StepBack
923,744,KKDA UP,22:53,IPE,23:00,UP,7,stabling,No StepBack,No StepBack
2,708,KKDA UP,06:18,PVGW UP,07:25,UP,67,continuing,No StepBack,No StepBack
315,743,KKDA UP,21:18,PVGW UP,22:23,UP,65,continuing,No StepBack,No StepBack
317,730,KKDA UP,21:28,PVGW UP,22:33,UP,65,continuing,No StepBack,No StepBack
318,720,KKDA UP,21:33,PVGW UP,22:38,UP,65,continuing,No StepBack,No StepBack
320,734,KKDA UP,21:38,PVGW UP,22:43,UP,65,continuing,No StepBack,No StepBack
321,721,KKDA UP,21:43,PVGW UP,22:48,UP,65,continuing,No StepBack,No StepBack
323,745,KKDA UP,21:55,PVGW UP,23:01,UP,66,continuing,No StepBack,No StepBack
325,717,KKDA UP,22:10,PVGW UP,23:16,UP,66,continuing,No StepBack,No StepBack
